Result for strategy KamaFama
                                                 BACKTESTING REPORT
┏━━━━━━━━━━━━━━━┳━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━┓
┃          Pair ┃ Trades ┃ Avg Profit % ┃ Tot Profit USDT ┃ Tot Profit % ┃    Avg Duration ┃  Win  Draw  Loss  Win% ┃
┡━━━━━━━━━━━━━━━╇━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━━━┩
│      ATA/USDT │      6 │        -1.29 │          -9.831 │        -9.83 │         4:34:00 │    3     0     3  50.0 │
│      ACH/USDT │      3 │        -1.87 │          -9.973 │        -9.97 │         9:58:00 │    1     0     2  33.3 │
│      ELF/USDT │      1 │        -12.6 │         -13.960 │       -13.96 │ 1 day, 11:40:00 │    0     0     1     0 │
│     IDEX/USDT │      1 │       -10.99 │         -14.231 │       -14.23 │ 3 days, 0:00:00 │    0     0     1     0 │
│      BNX/USDT │      3 │        -4.25 │         -14.445 │       -14.44 │         7:42:00 │    0     0     3     0 │
│      VIB/USDT │      3 │        -5.56 │         -19.511 │       -19.51 │        11:50:00 │    0     0     3     0 │
│      SYN/USDT │      2 │        -7.54 │         -23.793 │       -23.79 │         7:30:00 │    0     0     2     0 │
│     ALCX/USDT │      1 │       -25.13 │         -29.828 │       -29.83 │  1 day, 2:24:00 │    0     0     1     0 │
│     SAGA/USDT │      3 │       -10.51 │         -48.934 │       -48.93 │        11:17:00 │    0     0     3     0 │
│    LEVER/USDT │      7 │        -7.11 │         -49.417 │       -49.42 │        10:50:00 │    3     0     4  42.9 │
│         TOTAL │    311 │         0.69 │         165.755 │       165.75 │         6:20:00 │  208     0   103  66.9 │
└───────────────┴────────┴──────────────┴─────────────────┴──────────────┴─────────────────┴────────────────────────┘
                                            LEFT OPEN TRADES REPORT
┏━━━━━━━━━━┳━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━┓
┃     Pair ┃ Trades ┃ Avg Profit % ┃ Tot Profit USDT ┃ Tot Profit % ┃    Avg Duration ┃  Win  Draw  Loss  Win% ┃
┡━━━━━━━━━━╇━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━━━┩
│ UFT/USDT │      1 │        -4.04 │          -5.487 │        -5.49 │ 2 days, 0:30:00 │    0     0     1     0 │
