freqtrade backtesting -c user_data/configs/webserver_config.json -s NASOSv5_mod4_E0V1E --timerange=20240101- --enable-protections
Result for strategy NASOSv5_mod4_E0V1E
                                                 BACKTESTING REPORT
┏━━━━━━━━━━━━━━━━━┳━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━┓
┃            Pair ┃ Trades ┃ Avg Profit % ┃ Tot Profit USDT ┃ Tot Profit % ┃ Avg Duration ┃  Win  Draw  Loss  Win% ┃
┡━━━━━━━━━━━━━━━━━╇━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━━━┩
│       GLMR/USDT │      1 │         4.47 │          36.117 │        36.12 │      2:20:00 │    1     0     0   100 │
│        TRU/USDT │     27 │         1.28 │          35.589 │        35.59 │      2:37:00 │   18     0     9  66.7 │
│        SSV/USDT │      7 │         1.74 │          34.883 │        34.88 │      2:55:00 │    5     0     2  71.4 │
│        FIS/USDT │     23 │         1.53 │          34.268 │        34.27 │      2:26:00 │   18     0     5  78.3 │
│        NFP/USDT │      4 │         3.56 │          32.183 │        32.18 │      0:28:00 │    4     0     0   100 │
│      SUPER/USDT │      9 │         1.11 │          28.001 │         28.0 │      3:46:00 │    6     0     3  66.7 │
│     RENDER/USDT │      2 │         1.45 │          26.667 │        26.67 │      5:38:00 │    1     0     1  50.0 │
│        FTM/USDT │      7 │         1.53 │          26.614 │        26.61 │      3:10:00 │    5     0     2  71.4 │
│       MOVR/USDT │     12 │        -0.06 │          20.910 │        20.91 │      2:58:00 │    6     0     6  50.0 │
│        STX/USDT │      4 │         1.68 │          20.804 │         20.8 │      3:21:00 │    3     0     1  75.0 │
│      1INCH/USDT │      4 │         1.31 │          17.638 │        17.64 │      3:32:00 │    3     0     1  75.0 │
│       ORDI/USDT │      3 │         2.24 │          16.968 │        16.97 │      3:38:00 │    2     0     1  66.7 │
│        ENS/USDT │     20 │         1.42 │          14.075 │        14.07 │      1:31:00 │   16     0     4  80.0 │
│        JTO/USDT │     14 │        -0.09 │          13.518 │        13.52 │      3:41:00 │    8     0     6  57.1 │
│     BADGER/USDT │      5 │         0.21 │          12.899 │         12.9 │      3:41:00 │    2     0     3  40.0 │
│         ID/USDT │     14 │         1.13 │           8.908 │         8.91 │      3:32:00 │    9     0     5  64.3 │
│      FLOKI/USDT │     26 │         1.15 │           8.131 │         8.13 │      2:49:00 │   20     0     6  76.9 │
│        XRP/USDT │      1 │         0.72 │           6.894 │         6.89 │      6:00:00 │    1     0     0   100 │
│       IOTX/USDT │      5 │         0.25 │           6.330 │         6.33 │      4:03:00 │    3     0     2  60.0 │
│        VET/USDT │      2 │         3.78 │           6.213 │         6.21 │      0:22:00 │    2     0     0   100 │
│        AVA/USDT │      1 │         3.87 │           5.466 │         5.47 │      5:00:00 │    1     0     0   100 │
│        AXS/USDT │      1 │         3.27 │           5.172 │         5.17 │      2:30:00 │    1     0     0   100 │
│        SUI/USDT │      4 │         3.25 │           4.961 │         4.96 │      2:34:00 │    4     0     0   100 │
